"id","alias","descrip","other"
"NAA15","Ga19, NARG1, NAT1P, NATH, TBDN, TBDN100","N(alpha)-acetyltransferase 15, NatA auxiliary subunit","N-alpha-acetyltransferase 15, NatA auxiliary subunit|N-terminal acetyltransferase|NMDA receptor regulated 1|NMDA receptor-regulated protein 1|gastric cancer antigen Ga19|protein tubedown-1|transcriptional coactivator tubedown-100|tubedown-1"
"CWH43","CWH43-C","cell wall biogenesis 43 C-terminal homolog (S. cerevisiae)","PGAP2-interacting protein|cell wall biogenesis protein 43 C-terminal homolog"
"ASMTL-AS1","ASMTL-AS, ASMTLAS, CXYorf2, NCRNA00105","ASMTL antisense RNA 1","ASMTL antisense RNA 1 (non-protein coding)"
"ASMTL-AS1","ASMTL-AS, ASMTLAS, CXYorf2, NCRNA00105","ASMTL antisense RNA 1","ASMTL antisense RNA 1 (non-protein coding)"
"ATHL1","","ATH1, acid trehalase-like 1 (yeast)","acid trehalase-like protein 1"
"PRR36","","proline rich 36","proline-rich protein 36"
"C4orf29","","chromosome 4 open reading frame 29","uncharacterized protein C4orf29"
"MOGAT2","DGAT2L5, MGAT2","monoacylglycerol O-acyltransferase 2","2-acylglycerol O-acyltransferase 2|acyl CoA:monoacylglycerol acyltransferase 2|acyl-CoA:monoacylglycerol acyltransferase 2|diacylglycerol O-acyltransferase candidate 5|diacylglycerol acyltransferase 2-like protein 5|hDC5|hMGAT2"
"CTC1","AAF-132, AAF132, C17orf68, CRMCC, tmp494178","CTS telomere maintenance complex component 1","CST complex subunit CTC1|HBV DNAPTP1-transactivated protein B|alpha accessory factor 132|conserved telomere capping protein 1"
"IFT74","CCDC2, CMG-1, CMG1","intraflagellar transport 74","capillary morphogenesis gene 1 protein|capillary morphogenesis protein 1|coiled-coil domain containing 2|coiled-coil domain-containing protein 2|intraflagellar transport 74 homolog|intraflagellar transport protein 74 homolog"
"DBF4B","ASKL1, CHIFB, DRF1, ZDBF1B","DBF4 zinc finger B","ASK-like protein 1|DBF4 homolog B|Dbf4-related factor 1|activator of S-phase kinase-like protein 1|chiffon homolog B|protein DBF4 homolog B|zinc finger, DBF-type containing 1B"
"SPSB1","SSB-1, SSB1","splA/ryanodine receptor domain and SOCS box containing 1","SPRY domain-containing SOCS box protein 1|SPRY domain-containing SOCS box protein SSB-1|novel SPRY domain containing protein"
"MYCT1","MTLC","myc target 1","myc target in myeloid cells 1|myc target in myeloid cells protein 1|myc target protein 1"
"C16orf59","","chromosome 16 open reading frame 59","uncharacterized protein C16orf59"
"MYO19","MYOHD1","myosin XIX","myosin head domain containing 1|myosin head domain-containing protein 1|myosin-XIX|unconventional myosin-XIX"
"KIAA0226L","C13orf18","KIAA0226-like","uncharacterized protein KIAA0226-like"
"CEP290","3H11Ag, BBS14, CT87, JBTS5, LCA10, MKS4, NPHP6, POC3, SLSN6, rd16","centrosomal protein 290kDa","Bardet-Biedl syndrome 14 protein|CTCL tumor antigen se2-2|Meckel syndrome, type 4|POC3 centriolar protein homolog|cancer/testis antigen 87|centrosomal protein of 290 kDa|monoclonal antibody 3H11 antigen|nephrocytsin-6|prostate cancer antigen T21|tumor antigen se2-2"
"TTI2","C8orf41, MRT39","TELO2 interacting protein 2","TELO2-interacting protein 2|Tel2 interacting protein 2 homolog"
"BRD3","ORFX, RING3L","bromodomain containing 3","RING3-like protein|bromodomain-containing 3|bromodomain-containing protein 3"
"TMEM134","","transmembrane protein 134",""
"TMEM254","C10orf57, bA369J21.6","transmembrane protein 254","transmembrane protein C10orf57"
"RNF34","CARP-1, CARP1, RFI, RIF, RIFF, hRFI","ring finger protein 34, E3 ubiquitin protein ligase","E3 ubiquitin-protein ligase RNF34|FYVE-RING finger protein MOMO|RING finger protein RIFF|caspase regulator CARP1|caspases-8 and -10-associated RING finger protein 1|human RING finger homologous to inhibitor of apoptosis protein"
"MUS81","SLX3","MUS81 structure-specific endonuclease subunit","MUS81 endonuclease homolog|SLX3 structure-specific endonuclease subunit homolog|crossover junction endonuclease MUS81"
"FUZ","FY, NTD","fuzzy planar cell polarity protein","fuzzy homolog|protein fuzzy homolog"
"HKDC1","","hexokinase domain containing 1","hexokinase domain-containing protein 1|putative hexokinase HKDC1"
